Address	Content Comment
0	150                  
1	234567            
2      -1                    
3	2                     
4	150                  
5	51250              
6	0                      
8	12000              
9	4                     
10	71000              
11	32                                                       
12	51311              
13	51450             
14	1                      
15	51550             
16	3                      
17	51650              
18	2
19	56750              
20	4
21	53314              
22	11415              
23	31416              
24	21760              
25	1                      
26	81700              
27	19                   
28	51250              
29	0                      
30	12000              
31	5                      
32	0                      
-1	5                      



